trial,seed,bestCost,bestIter,totalIter,validCount,betterCount,acceptedCount,timeMs
1,1,5833.87,938,5000,1310,19,19,3
2,2,5862.30,1391,5000,1319,15,15,5
3,3,5816.99,341,5000,1716,13,13,3
4,4,5816.99,387,5000,1749,14,16,4
5,5,5833.87,358,5000,1269,10,14,4
6,6,5833.87,229,5000,1217,11,11,4
7,7,5862.30,332,5000,1306,12,17,4
8,8,5845.42,345,5000,1749,14,16,4
9,9,5862.30,913,5000,1385,17,22,4
10,10,5833.87,850,5000,1298,16,16,4
11,11,5816.99,382,5000,1710,14,15,4
12,12,5816.99,876,5000,1762,13,20,4
13,13,5816.99,275,5000,1744,15,15,4
14,14,5816.99,696,5000,1708,14,20,3
15,15,5845.42,1132,5000,1853,19,20,4
16,16,5915.75,2587,5000,1553,11,17,4
17,17,5833.87,169,5000,1217,10,16,4
18,18,5833.87,415,5000,1265,14,15,4
19,19,5845.42,1041,5000,1833,18,18,4
20,20,5845.42,266,5000,1879,13,13,4
21,21,5816.99,849,5000,1681,12,12,4
22,22,5862.30,840,5000,1417,13,13,4
23,23,5915.75,390,5000,1499,10,15,4
24,24,5816.99,612,5000,1747,18,18,4
25,25,5816.99,1212,5000,1676,13,16,4
26,26,5816.99,1338,5000,1691,13,20,4
27,27,5833.87,1312,5000,1409,18,18,4
28,28,5833.87,1249,5000,1273,11,11,4
29,29,5816.99,67,5000,1683,12,12,3
30,30,5816.99,182,5000,1701,11,15,4
